time,lyrics
0,
1234,響け ファンファーレ
3880,届け ゴールまで
6351,輝く未来を君と見たいから
12654,
23167,駆け出したらきっと始まるstory
28684,いつでも近くにあるから
32784,
33867,手を伸ばせばもっと掴めるglory
39400,1番目指して let's challenge
42920,加速してゆこう
46287,
47120,勝利の女神も夢中にさせるよ
52281,スペシャルな明日へ繋がる
57100,Make debut!
59370,
59830,響け ファンファーレ
62550,届け ゴールまで
65070,輝く未来を君と見たいから
70630,駆け抜けてゆこう 君だけの道を
75970,もっと 速く
78800,I believe
80250,夢の先まで
83583,
86580,響け ファンファーレ
89130,届け ゴールまで
91630,輝く未来を君と見たいから
97236,駆け抜けてゆこう 君だけの道を
102530,走れ 走れ 誰より速く
108500,いつか笑える
111130,最高だけ目指してゆこう
122300,
132201,I believe
133520,夢の先まで
136750,
