time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Wah,145,Random3,Green04,Pink01,Yellow02,,,,,,,
1500,Wah,145,Random3,Green04,Pink01,Yellow02,,,,,,,
4605,Oioi,195,Random3,Green04,Pink01,Yellow02,,,,,,,
14429,Oioi,97,Random3,Green04,Pink01,Yellow02,,,,,,,
24253,Oioi,195,Random3,Green04,Pink01,Yellow02,,,,,,,
34077,Bye,97,Random3,Green04,Pink01,Yellow02,,,,,,,
48813,Oioi,195,Random3,Green04,Pink01,Yellow02,,,,,,,
78592,Bye,97,Random3,Green04,Pink01,Yellow02,,,,,,,
93328,Oioi,195,Random3,Green04,Pink01,Yellow02,,,,,,,
133545,Pause,195,Random3,Green04,Pink01,Yellow02,,,,,,,
