time,left3,left2,left,center,right,right2,right3,left3_vol,left2_vol,left_vol,center_vol,right_vol,right2_vol,right3_vol,left3_pan,left2_pan,left_pan,center_pan,right_pan,right2_pan,right3_pan,volume_rate
0,0,0,1,1,1,0,0,999,999,0,0,0,999,999,999,999,999,999,999,999,999,999
1000,0,0,2,1,2,0,0,999,999,0.7,0.95,0.7,999,999,999,999,-0.15,999,0.15,999,999,1
26000,0,0,2,1,2,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
36000,0,0,1,1,1,0,0,999,999,0,0,0,999,999,999,999,999,999,999,999,999,999
38000,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
47125,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
52000,0,0,1,1,0,0,0,999,999,999,999,999,999,999,999,999,0.15,-0.15,999,999,999,999
53750,0,0,2,0,1,0,0,999,999,0,999,1,999,999,999,999,999,999,0,999,999,1
59875,0,0,2,1,1,0,0,999,999,0.56,0.56,0.7,999,999,999,999,0.3,-0.3,0,999,999,1
66375,0,0,2,1,1,0,0,999,999,1,0.7,0.56,999,999,999,999,0,0,0,999,999,1
72375,0,0,2,0,1,0,0,999,999,1,999,1,999,999,999,999,0,999,0,999,999,1
75375,0,0,1,0,1,0,0,999,999,0,999,1,999,999,999,999,999,999,0,999,999,1
77125,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
88375,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
94750,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,0.15,999,-0.15,999,999,999
101312,0,0,1,0,1,0,0,999,999,999,999,999,999,999,999,999,0.15,999,-0.15,999,999,999
106125,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
113500,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
120250,0,0,1,0,1,0,0,999,999,999,999,999,999,999,999,999,0.15,999,-0.15,999,999,999
126750,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,0.15,999,-0.15,999,999,999
133250,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
138125,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
