time,lyrics
0,
14667,Light up! 未来へとKIRAめけ イルミネイション
21000,さあ 飾りはあと笑顔だけ
26133,Let's party all night!
28266,
28267,（Happy together）
31467,（Happy together）
33867,（Oh yeah! I wish a Merry Christmas!）
41066 ,
41067,満天の空にさえ 勝てるような
46917,一瞬を創ってみようよ Are you ready?
53217,ちょっとずつ アイディアを繋げて ミルキーウェイ
59867,Yes! 見たことない景色 あらわれそう
66266,
66267,Ding dong 今年を彩るように 咲いてく
72167,Ding dong 夢の[点灯]<ライト> ファンファーレにして
77067,始めようよ Shiny time!
80800,
81867,Light up! 未来へとKIRAめけ イルミネイション
88683,世界をドレスアップ Colorful wonderland
94500,Enjoy! 粉雪が手渡す とっておきの Greeting
101333,さあ まだまだ走ろう 先へ
105833,Let's party all night!
109167,
113867,Light up! 未来へとKIRAめけ イルミネイション
120433,世界をドレスアップ Colorful wonderland
126617,Enjoy! 降り積もるキセキは 祝福の Fragment
133083,さあ まだまだ走ろう キミと
138133,Let's party all night!
141333,Let's party all night!
144300,
