time,lyrics
0,
6200,揺らせ 一秒 駆けたら Summer girls
9950,夢への道はストレート
13700,視線 誰にも 譲れない
16700,Please[COMMA] Gaze on Me!
18363,きっと始まる Fantastic time
21132,
21133,(La la la la la la…ゴールは Spot light)
24883,(La la la la la la…I'm the heroine)
28700,(La la la la la la…キミを頂戴)
31700,(Please[COMMA] Gaze on Me!)
33383,(きっと始まる Fantastic time)
37367,
37783,みんな 準備はいいですか？ Burning
41583,うなずいて陽炎も Heat up
45333,どうしよう 上昇 アガる空気
48617,Let's go! さあ太陽 燃えて最高
52433,
52783,Mate 負けられない 興奮もハートも
57750,駆け引きは No no
60333,Gate 開いたなら 一瞬のドラマ
65217,走れ 夏の方へ！
67717,
68067,揺らせ 一秒 駆けたら Summer girls
71817,夢への道はストレート
75567,視線 誰にも 譲れない
78567,Please[COMMA] Gaze on Me!
80250,きっと沸き立つ Fantastic time
83066,
83067,関係ない どんな私だって
84900,真夏 駆け出せたら Venus
87283,アツくなれば一歩で Change&happy
90983,眩しすぎる今日を
92883,踊るように手にしよう (さぁ Here we go!)
96083,ビートは止まらない
99250,
105333,Keep 思うままに 身を預けて
110250,灼熱へ Go go
112833,Warp 本能のリズム 打ち鳴らして
117750,走れ 夏の方へ！
120450,
122450,揺らせ 一秒 駆けたら Summer girls
126200,夢への道はストレート
129950,視線 誰にも 譲れない
132933,Please[COMMA] Gaze on Me!
134633,きっと始まる Fantastic time
137416,
137417,(La la la la la la…ゴールは Spot light)
141217,(La la la la la la…I'm the heroine)
145033,(La la la la la la…キミを頂戴)
147933,(Please[COMMA] Gaze on Me!)
149633,(きっと始まる Fantastic time)
153617,
