time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Wah,145,Random2,Blue02,Blue02,,,,,,,,
1,Wah,0,Random2,Blue02,Blue02,,,,,,,,
5310,Wah,145,Random2,Blue02,Blue02,,,,,,,,
8350,Bye,79,Random2,Blue02,Blue02,,,,,,,,
63070,Bye,40,Random2,Blue02,Blue02,,,,,,,,
69150,Bye,79,Random2,Blue02,Blue02,,,,,,,,
93470,Bye,40,Random2,Blue02,Blue02,,,,,,,,
99550,Bye,40,Random2,Blue02,Blue02,,,,,,,,
105630,Bye,79,Random2,Blue02,Blue02,,,,,,,,
118550,Bye,20,Random2,Blue02,Blue02,,,,,,,,
128070,Wah,165,Random2,Blue02,Blue02,,,,,,,,
