time,lyrics
0000,
25667,目の前から 砕け散ったリアリティ
31283,手さぐりの空 ゆらめくまま おちていく
36300,世界は -So BLACKNESS- 眩んで\n(真っ白に重くのしかかる 希望だったはずの質量\n大地を蹴った反動から 空に食らいつく星になれ)
46800,
48117,うつろいゆく なにもかもが蜃気楼
53750,わずかなかがやき 遥か彼方 見つめてる
59300,希望のフレアに 砂まみれの明日がにじんだとき
64800,しびれるほどに 焦がれていたもの
70150,
70583,さまよいもがき続ける 果てなき迷宮
80417,あぁ見失いそうでも 手を伸ばした
88066,
88067,闇を駆け抜ける 眩しいその光
92850,なぜ 燃えている おさえきれないイノチが今
99350,ただ叫んでいる “生きた証になれ”
104267,熱い魂をたぎらせている それだけ
109283,
109417,世界は -So GLORY- 眩んで\n(真っ白に重くのしかかる 希望だったはずの質量\n大地を蹴った反動から 空に食らいつく星になれ)
120017,
