time,lyrics
0,
3617,声なき声 不可思議
7133,そのとき風 揺らめき
10900,もがいていた背中を押す
17732,
17733,超えたい壁 gravity
21267,そのとき羽 煌めき
24967,もう過負荷は次元変換transforming
32367,
45967,誰も見たことのない景色へ
49500,何も視界にいない世界へ
53033,限界超えた異次元 on the road
56550,選び 加速して行こう別のリアルへ
60966,
60967,誰も遮ることなく
63617,何も恐れるものない進化へ
67150,標識の無い領域の中へ
70683,移行 不可能 可能に変えて
74649,
74633,Go 目の前の世界線を追い越して
86817,
103517,見えない光に導かれ ベクトルを変えて行け
117067,果てない瞬間 [生命]<いのち>ごとレベル上げて
129150,真っ直ぐに
131083,
134417,さあ 走れ奇跡
144766,
144767,声なき声 轟き
148317,彼方の[天]<そら> 閃き
152067,あの魂 私を押す
158916,
158917,超えてた壁 その[瞬間]<とき>
162433,数多のほら 響めき
166133,もう新たな宇宙 未知なるゴールへ
173600,
