time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Wah,0,Random2,Red01,Red02,,,,,,,,
2400,Wah,145,Random2,Red01,Red02,,,,,,,,
7584,Uhoi,190,Random2,Red01,Red02,,,,,,,,
18960,Oioi,190,Random2,Red01,Red02,,,,,,,,
28756,Uhoi,95,Random2,Red01,Red02,,,,,,,,
34128,Oioi,190,Random2,Red01,Red02,,,,,,,,
54352,Uhoi,190,Random2,Red01,Red02,,,,,,,,
69520,Oioi,190,Random2,Red01,Red02,,,,,,,,
78368,Uhoi,190,Random2,Red01,Red02,,,,,,,,
90692,Uhoi,95,Random2,Red01,Red02,,,,,,,,
101120,Uhoi,190,Random2,Red01,Red02,,,,,,,,
135200,Wah,50,Random2,Red01,Red02,,,,,,,,
138000,Wah,165,Random2,Red01,Red02,,,,,,,,
