time,lyrics
0000,
19220,光の速さで駆け抜ける衝動は
24180,何を犠牲にしても叶えたい強さの覚悟
28969,
28970,(no fear) 一度きりの
31450,(trust you) この瞬間に
34080,賭けてみろ 自分を信じて
38730,
39030,時には運だって必要と言うのなら
43720,宿命の旋律も引き寄せてみせよう
50420,
53200,走れ今を まだ終われない
56380,辿り着きたい場所があるから
60100,その先へと進め
63020,涙さえも強く胸に抱きしめ
69020,そこから始まるストーリー
74220,果てしなく続く
76220,winning the soul
80550,
89870,掴め 今を変えたいなら
93100,描いた夢を未来に掲げ
96730,恐れないで挑め
100049,
100050,走れ今を まだ終われない
103220,辿り着きたい場所があるから
106830,その先へと進め
109680,涙さえも強く胸に抱きしめ
115800,そこから始まるストーリー
120900,果てしなく続く
123100,winning the soul
127664,
