time,lyrics
0,
10814,(Wow Wow Wow Wow…)
15234,やっとみんな会えたね
20453,
20454,Don't stop! No[COMMA] don't stop'til finish!!
22554,(Wo oh oh)
25104,Don't stop! No[COMMA] don't stop'til finish!!
27264,(Wo oh oh)
29734,
32014,たかたった 全力走りたい
33834,芝と砂と キミの追い切りメニュー
36554,Turn Up! (Turn Up!) 声出せ叫べ (Wo oh oh)
41264,トレセーン！ ファイ！ (オー！) ファイ！ (オー！)
44313,
44314,たかたった 全力上がりタイム
46654,ゆずれない夢の途中 (Wow Wow)
49484,始めよう ここから最高STORY (Wow Wow Wow)
54054,(o oh o oh…おっおっおーー！)
58803,
58804,あこがれの地へ (勇気すこし借りて)
62954,語り合ったMEMORY (二度と来ない今を)
67634,もう ドキドキもトキメキも
70704,抑えられない たまんない
73064,熱いハラハラが止まらない
78153,
78154,キミと 走り競いゴール目指し 遥か響け届けMUSIC
84824,ずっとずっとずっとずっと想い 夢がきっと叶うなら
89564,あの日キミに感じた何かを信じて
94214,春も夏も秋も冬も超え 願い焦がれ走れ
98034,Ah 勝利へ
100984,Don't stop! No[COMMA] don't stop'til finish!!
104900,
