time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Wah,0,Random2,Red01,Red02,,,,,,,,
1,Wah,165,Random2,Red01,Red02,,,,,,,,
20473,PPPH,205,Random2,Red01,Red02,,,,,,,,
42595,PPPH,205,Random2,Red01,Red02,,,,,,,,
44499,PPPH,205,Random2,Red01,Red02,,,,,,,,
57977,PPPH,205,Random2,Red01,Red02,,,,,,,,
59149,PPPH,102,Random2,Red01,Red02,,,,,,,,
68232,PPPH,205,Random2,Red01,Red02,,,,,,,,
77608,Stop,205,Random2,Red01,Red02,,,,,,,,
77901,PPPH,205,Random2,Red01,Red02,,,,,,,,
79952,PPPH,205,Random2,Red01,Red02,,,,,,,,
99290,PPPH,51,Random2,Red01,Red02,,,,,,,,
101048,Pause,165,Random2,Red01,Red02,,,,,,,,
105500,Wah,165,Random2,Red01,Red02,,,,,,,,
