time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Wah,0,Random2,Red01,Red02,,,,,,,,
1,Wah,145,Random2,Red01,Red02,,,,,,,,
10500,PPPH,236,Random2,Red01,Red02,,,,,,,,
17504,PPPH,50,Random2,Red01,Red02,,,,,,,,
22524,PPPH,205,Random2,Red01,Red02,,,,,,,,
42595,PPPH,205,Random2,Red01,Red02,,,,,,,,
43913,PPPH,205,Random2,Red01,Red02,,,,,,,,
57977,PPPH,205,Random2,Red01,Red02,,,,,,,,
59149,PPPH,102,Random2,Red01,Red02,,,,,,,,
68232,PPPH,205,Random2,Red01,Red02,,,,,,,,
77608,Stop,205,Random2,Red01,Red02,,,,,,,,
79952,PPPH,205,Random2,Red01,Red02,,,,,,,,
101341,PPPH,102,Random2,Red01,Red02,,,,,,,,
115112,PPPH,205,Random2,Red01,Red02,,,,,,,,
138552,PPPH,102,Random2,Red01,Red02,,,,,,,,
152616,PPPH,205,Random2,Red01,Red02,,,,,,,,
157890,PPPH,51,Random2,Red01,Red02,,,,,,,,
160868,Stop,165,Random2,Red01,Red02,,,,,,,,
163164,PPPH,205,Random2,Red01,Red02,,,,,,,,
182209,PPPH,51,Random2,Red01,Red02,,,,,,,,
184260,Wah,50,Random2,Red01,Red02,,,,,,,,
187060,Wah,165,Random2,Red01,Red02,,,,,,,,
