time,lyrics
0,
2080,走れ 走れ もっと先まで
5230,終わらない夢のなかを
8020,それぞれが星へと駆けるよ
10750,だからみんな…Let's Go Starting Gate!
16250,
25030,好奇心が見つけた ハロー 未来の尻尾
30400,射程距離にとらえて つかまえちゃおう 今すぐ！
36100,教科書にも載ってない トクベツなExperience
41430,追いかける準備なら とっくにオールオーケー！
46649,
46650,じれったい じっくり ゆっくりなんてのは
49830,(No Thank You! No Thank You!)
52130,微妙っぽい 雰囲気 やっぱり私たちは (Run! Run! Run!)
56220,全力がいいな (Ready…Go!)
60099,
60100,走れ 走れ もっと先まで (Dash! Dash!)
63230,止まらない風みたいに (Byu-n! Byu-n!)
66000,トゥインクル 光を纏って (Only One)
68850,ギューンと加速しよう (グロウアップ・シャイン！)
71120,早く 早く もっと先まで (Dash! Dash!)
74150,終わらない夢のなかを (Byu-n! Byu-n!)
77000,それぞれが星に届くまで
79650,行こうよみんな…Let's Go Starting Gate!
84920,
87550,おいで おいで 聞こえている
90730,予感という 内なる声 (Welcome To My Road)
96720,信じてみよう！
99180,
100050,走れ 走れ もっと先まで (Dash! Dash!)
103200,終わらない夢のなかを (Byu-n! Byu-n!)
105930,それぞれが星に届くまで
108620,行こうよみんな…Let's Go Starting Gate!
113170,
114470,賭けてみよう…Let's Go Starting Gate!
118620,,
