time,lleft,left,center,right,rright,lleft_vol,left_vol,center_vol,right_vol,right_vol,lleft_pan,left_pan,center_pan,right_pan,rright_pan
0,0,0,1,0,0,999,999,1.2,999,999,999,999,999,999,999
8057,0,1,0,1,0,999,0.81,999,0.81,999,999,-0.12,999,0.12,999
10844,0,1,1,1,0,999,1,1.22,1,999,999,-0.12,999,0.12,999
24763,0,2,1,0,0,999,1.26,1.26,999,999,999,0,0,999,999
34529,0,2,1,1,0,999,999,999,999,999,999,999,999,999,999
35834,0,0,2,1,0,999,999,0,1.26,999,999,999,999,0,999
41400,0,2,2,1,0,999,1.27,1.27,1,999,999,0.15,-0.15,0,999
43821,0,2,2,1,0,999,999,999,999,999,999,999,999,999,999
46400,0,0,2,0,0,999,999,999,999,999,999,999,999,999,999
51500,0,0,1,0,0,999,999,0,999,999,999,999,999,999,999
51789,0,1,0,1,0,999,999,999,999,999,999,999,999,999,999
56331,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
86000,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
96409,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
