time,left3,left2,left,center,right,right2,right3,left3_vol,left2_vol,left_vol,center_vol,right_vol,right2_vol,right3_vol,left3_pan,left2_pan,left_pan,center_pan,right_pan,right2_pan,right3_pan,volume_rate
0,0,1,1,1,1,0,0,999,0,0,0,0,999,999,999,999,999,999,999,999,999,999
100,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
19750,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
21900,0,0,1,0,1,0,0,999,999,999,999,999,999,999,999,999,0.15,999,-0.15,999,999,999
26750,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
33000,0,1,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
34170,0,1,1,1,1,0,0,999,999,999,999,999,999,999,999,0.3,999,999,-0.3,999,999,999
36580,0,1,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
38750,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
41500,0,0,1,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
44050,0,1,1,1,1,0,0,999,0.53,0.56,0.56,0.53,999,999,999,0.3,999,999,-0.3,999,999,1
56250,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
60500,0,1,1,1,1,0,0,999,0.53,0.56,0.56,0.53,999,999,999,0.3,999,999,-0.3,999,999,1
66000,0,0,1,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
68375,0,1,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
71125,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
76250,0,1,1,1,1,0,0,999,0.53,0.56,0.56,0.53,999,999,999,0.3,999,999,-0.3,999,999,1
84000,0,1,0,1,0,0,0,999,999,999,999,999,999,999,999,0.15,999,-0.15,999,999,999,999
93500,0,0,1,0,1,0,0,999,999,999,999,999,999,999,999,999,0.15,999,-0.15,999,999,999
100000,0,1,2,0,1,0,0,999,0.7,0,999,0.7,999,999,999,0.15,999,999,-0.15,999,999,1
103000,0,3,2,1,3,0,0,999,0,0.7,0.7,0,999,999,999,999,-0.15,0.15,999,999,999,1
105125,0,0,2,1,3,0,0,999,0,0.8,0.9,0.75,999,999,999,999,-0.05,0.05,-0.1,999,999,1
106100,0,0,2,1,3,0,0,999,0,0.8,0.47,0.75,999,999,999,999,-0.05,0.05,-0.1,999,999,1
106640,0,3,2,1,3,0,0,999,0.4,0.47,0.47,0.4,999,999,999,0.3,999,999,-0.3,999,999,1
107100,0,3,2,1,3,0,0,999,0.45,0.45,0.95,0.45,999,999,999,0.3,-0.15,0.15,-0.3,999,999,1
108000,0,3,2,1,3,0,0,999,0.63,0.68,0.95,0.63,999,999,999,0.3,-0.15,0.15,-0.3,999,999,1
112500,0,1,1,1,1,0,0,999,0,0,1,0,999,999,999,999,999,0,999,999,999,1
118750,0,1,1,1,1,0,0,999,0.53,0.56,0.56,0.53,999,999,999,0.3,999,999,-0.3,999,999,1
128250,0,1,1,0,0,0,0,999,999,999,999,999,999,999,999,0.15,-0.15,999,999,999,999,999
130875,0,0,0,1,1,0,0,999,999,999,999,999,999,999,999,999,999,0.15,-0.15,999,999,999
133625,0,1,1,1,1,0,0,999,0.53,0.56,0.56,0.53,999,999,999,0.3,999,999,-0.3,999,999,1
