time,lyrics
0,
17317,期待に応えたくて
19483,願いを叶えたくて
22017,努力して (工夫して)
24633,結果を出すんだ (でも)
26800,もっともっともっと大きくなる気持ちを
31733,(誤魔化せない)
33083,君と知った真剣勝負は
36366,
36367,世界が (遅くなって)
39167,鼓動が (速くなって)
41967,突き抜ける瞬間
43950,何度何度何度何度何度だって
48833,(楽しくてSmile!)
50032,
50033,前進あるのみ心のゆくままに
55433,(Start dash)
56200,最後まで走り抜いて諦めない
60500,そしていつかの自分を超える時
65217,(Spurt dash)
65983,届け (振り絞って)
68300,届け (捻り出して)
71200,君と一緒に未来描く一直線だ
76400,勝利の向こうへOverrun!
82400,
84517,解き放てTrue power
87833,
94300,出し切ってGo!
95933,
99967,(だって)
100617,勝っても負けても
102417,(だって)
103017,笑顔でいたくて
105117,走る走る走る走る君と......
112332,
112333,前進あるのみ心が叫ぶから
117883,(Start dash)
118867,最後まで走り抜いて諦めない
122933,そしていつかの自分を超えるんだ
127667,(Spurt dash)
128433,届け (振り絞って)
130817,届け (捻り出して)
133650,君と一緒に未来描く一直線だ (さぁ)
138600,勝利の向こうへOverrun!
144867,
