time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Bye,100,Random2,Purple01,Purple01,,,,,,,,
1,Bye,100,Random2,Purple01,Purple01,,,,,,,,
5577,Bye,140,Random2,Purple01,Purple01,,,,,,,,
9009,Bye,70,Random2,Purple01,Purple01,,,,,,,,
10296,Bye,140,Random2,Purple01,Purple01,,,,,,,,
23166,Bye,70,Random2,Red02,Red02,,,,,,,,
23595,Bye,70,Random2,Red02,Red02,,,,,,,,
24024,Bye,35,Random2,Red02,Red02,,,,,,,,
27885,Uhoi,140,Random2,Red02,Red02,,,,,,,,
29815,Uhoi,140,Random2,Red01,Red01,,,,,,,,
31150,Uhoi,140,Random2,Red02,Red02,,,,,,,,
38121,Uhoi,140,Random2,Red01,Red01,,,,,,,,
53625,Bye,140,Random2,Purple01,Purple01,,,,,,,,
66346,Uhoi,140,Random2,Red02,Red02,,,,,,,,
67782,Uhoi,140,Random2,Red01,Red01,,,,,,,,
80667,Bye,140,Random2,Purple01,Purple01,,,,,,,,
94520,Bye,35,Random2,Purple01,Red02,,,,,,,,
97959,Uhoi,140,Random2,Red02,Red02,,,,,,,,
100815,Uhoi,140,Random2,Red01,Red01,,,,,,,,
131274,Bye,70,Random2,Red02,Red02,,,,,,,,
131703,Bye,70,Random2,Red02,Red02,,,,,,,,
132132,Bye,35,Random2,Red02,Red02,,,,,,,,
135564,Pause,140,Random2,Red02,Red02,,,,,,,,
