time,lyrics
0,
3750,たったかつったか ぴょいっと駆けちゃお
6567,ぱっぱらぱっぱー せーのでスタート
9217,やっぱりすっごい でっかーい伝説
11834,ぜったいぜったい いっぱいつくっちゃお！
14250,
26317,春はあけぼの
27700,おだんごがぼーの
29017,桜並木にダッシュ！
31699,
31700,夏のギラギラ
33034,汗もダラダラ
34217,青春だ！
35534,もう一本ダッシュ!!
37049,
37050,秋は さんまご飯
38367,おいも 栗ご飯…
39700,食べた分だけダッシュ!!!
42366,
42367,冬の寒さに
43700,恋しいよサニー
44950,大雪の中も
46367,めげずにダッシュ!!!!
47649 ,
47650,走り続けて見えてきた
50367,未来の自分のスマイル
53034,将来予報は晴れor雨？
56984,やっぱ絶対 快晴希望
59784,青い空へジャンプ！ (ジャンプ！)
63899,
63900,たったかつったか ぴょいっと駆けちゃお
66667,ぱっぱらぱっぱー せーのでスタート
69217,やっぱりすっごい でっかーい伝説
72000,ぜったいぜったい いっぱいつくっちゃお！
74499,
74500,いい天気 うきうきだね ならばかけっこだ！
79984,いっせーのーせで 一等賞 目指して！
82400,
93284,なんどもなんども 失敗しちゃって
96034,なんどもなんども 涙を流して
98700,なんどもなんども 励ましあって
101367,なんども乗り越えていこうね
103934,なんどでも！
105399,
105400,たったかつったか ぴょいっと駆けちゃお
108034,ぱっぱらぱっぱー せーのでスタート
110734,やっぱりすっごい でっかーい伝説
113450,ぜったいぜったい いっぱいつくっちゃお！
115949,
115950,いい天気 うきうきだね ならばかけっこだ！
121450,いっせーのーせで 一等賞 目指して！
123949,
123934,はしっちゃおう うたっちゃおう
126667,あしたもはれるや！ YES!
129282,
129283,はしれやうたえ うたえはしれや
132167,つったかたった ぴょいっと
133467,つったかたった ぴょいっと
134717,つったかたった はれるや！ ねっ♪
137233,
