time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Oioi,0,Random2,Blue01,Blue02,,,,,,,,
1,Oioi,86,Random2,Blue01,Blue02,,,,,,,,
14283,Wah,165,Random2,Blue01,Blue02,,,,,,,,
23183,Oioi,198,Random2,Blue01,Blue02,,,,,,,,
46783,Bye,99,Random2,Blue01,Blue02,,,,,,,,
56083,Oioi,198,Random2,Blue01,Blue02,,,,,,,,
63767,PPPH,198,Random2,Blue01,Blue02,,,,,,,,
83683,Oioi,198,Random2,Blue01,Blue02,,,,,,,,
93400,Bye,99,Random2,Blue01,Blue02,,,,,,,,
103250,Oioi,198,Random2,Blue01,Blue02,,,,,,,,
119617,PPPH,198,Random2,Blue01,Blue02,,,,,,,,
137100,Oioi,198,Random2,Blue01,Blue02,,,,,,,,
144333,Bye,99,Random2,Blue01,Blue02,,,,,,,,
152833,Oioi,198,Random2,Blue01,Blue02,,,,,,,,
164633,Wah,165,Random2,Blue01,Blue02,,,,,,,,
