time,left3,left2,left,center,right,right2,right3,left3_vol,left2_vol,left_vol,center_vol,right_vol,right2_vol,right3_vol,left3_pan,left2_pan,left_pan,center_pan,right_pan,right2_pan,right3_pan,volume_rate
0,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
37250,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
47500,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
56650,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
58750,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
61560,0,0,1,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
63460,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
64570,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
83625,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
88125,0,0,0,1,2,0,0,999,999,999,1,0,999,999,999,999,999,0,999,999,999,1
92000,0,0,0,1,2,0,0,999,999,999,1,1,999,999,999,999,999,0,0,999,999,1
98500,0,0,1,0,2,0,0,999,999,1,999,1,999,999,999,999,0,999,0,999,999,1
103000,0,0,2,1,1,0,0,999,999,0,1,0,999,999,999,999,999,0,999,999,999,1
107570,0,0,2,0,1,0,0,999,999,1,999,1,999,999,999,999,0,999,0,999,999,1
109625,0,0,2,1,0,0,0,999,999,1,1,999,999,999,999,999,0,0,999,999,999,1
114000,0,0,1,1,0,0,0,999,999,0,1,999,999,999,999,999,0,0,999,999,999,1
116500,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
136920,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
144000,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
