time,lyrics
0,
27817,いつだって知ってる
29617,鼓動はファンファーレ
32033,さあ急げ (また新しい) 運命-ルート-見据えて
37566,
37567,がむしゃらに叶えた道のりの続き
42167,そう Brand new world (まだ眠ってる)
44617,今日へ踏みだそう
47167,
47817,はじまりの日に
51433,誓った思い
53967,ハートのなか Live
56283,チャンスは (待ちたくない)
59067,情熱のスピード上げるよ
63399,
63400,行かなくちゃ！
64300,夢でひらく世界 その向こうへ
68433,どんな地平も 超えよう 一斉に Spurt
73917,キミと探し出した一瞬 駆け抜け
78133,また次の Future gate 準備はいい？
83616,
83617,希望と走れ 日々は Runway
86300,(Go! Go! どこにだって Go!)
88300,DRAMATIC JOURNEY
90500,目指せ キラメキを！
93882,
93400,予想外はつきもので
98300,だけどそれでいい
103050,限界 振り切り
105700,未来-ゴール-へと
107367,走って 走って 一番、好きな自分で
115517,
116917,行かなくちゃ！
117817,夢でひらく世界 その向こうへ
121767,どんな地平も 超えよう 一斉に Spurt
127267,キミと出会えた奇跡 エールにして
131767,また次の Future gate 準備はいい？
137066,
136967,希望と走れ 日々は Runway
139467,(Go! Go! どこにだって Go!)
141600,DRAMATIC JOURNEY
143833,目指せ キラメキを！
150600,歓声を！
153000,
