time,lyrics
0,
16470,(位置について よーい ドン！)
21100,
21101,うーーーー (うまだっち) 
23480,うーーー (うまぴょい うまぴょい)
26670,うーー (すきだっち)
28070,うーー (うまぽい)
29480,うまうまうみゃうにゃ 3 2 1 Fight!!
32399,
32400,おひさまぱっぱか快晴レース (はいっ)
33720,ちょこちょこなにげに (そーわっ So What)
35130,第一第二第三しーごー (だんだんだんだん出番が近づき)
37950,めんたまギラギラ出走でーす (はいっ！)
39370,今日もめちゃめちゃはちゃめちゃだっ (ちゃー！)
40950,がち追い込み (糖質カット)
42180,コメくいてー (でもやせたーい！)
43600,あのこは (ワッフォー) そのこは (ベイゴー)
45020,どいつもこいつも あらら (リバンドー)
46480,泣かないで (はいっ) 拭くんぢゃねー (おいっ)
47830,あかちん塗っても (なおらないっ) (はーっ？)
49379,
49380,きょうの勝利の女神は あたしだけにチュゥする
54630,虹のかなたへゆこう
57720,風を切って 大地けって
60420,きみのなかに 光ともす
63200,(どーきどきどきどきどきどきどきどき)
66369,
66370,きみの愛馬が！
67750,ずきゅんどきゅん 走り出しー (ふっふー)
70520,ばきゅんぶきゅん かけてーゆーくーよー
73350,こんなーレースーはー はーじめてー (3 2 1 Fight!!)
78980,ずきゅんどきゅん 胸が鳴り (ふっふー)
81900,ばきゅんぶきゅん だいすーきーだーよー
84780,今日もーかなでーるー
87370,はぴはぴ だーりん 3 2 1 Go Fight
90180,うぴうぴ はにー 3 2 1 (うーーFight!!）
93099,
93100,うーーーー (うまだっち)
95950,うーーー (うまぴょい うまぴょい)
98750,うーー (すきだっち) うーー (うまぽい)
101480,うまうまうみゃうにゃ
103000,
103001,きみの愛馬が！
104430,ずきゅんどきゅん 走り出し (ふっふー)
107270,ばきゅんぶきゅん かけてーゆーくーよー
110180,こんなーおもいーはー はーじめて (3 2 1 Fight!!)
115780,ずきゅんどきゅん 胸が鳴り (ふっふー)
118650,ばきゅんぶきゅん だいすーきーだーよー
121380,今日もーかなでーるー
124070,はぴはぴ だーりん 3 2 1 Go Fight
126900,うぴうぴ はにー 3 2 1 (うーーFight!!）
131520,
