time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Wah,0,Random2,Green03,Green03,,,,,,,,
1100,Wah,145,Random2,Green03,Green03,,,,,,,,
4500,Oioi,120,Random2,Green03,Green03,,,,,,,,
12145,Wah,125,Random2,Green03,Green03,,,,,,,,
15000,Wah,165,Random2,Green03,Green03,,,,,,,,
20824,Oioi,170,Random2,Green03,Green03,,,,,,,,
31767,PPPH,195,Random2,Green03,Green03,,,,,,,,
32473,Oioi,170,Random2,Green03,Green03,,,,,,,,
65970,High,190,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
66300,Pause,190,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
67773,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
69891,PPPH,195,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
70597,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
71656,Fufu,170,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
73421,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
78900,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
80649,PPPH,195,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
81962,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
82952,Fufu,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
84717,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
93130,Fufu,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
102729,High,200,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
103279,Pause,190,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
104485,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
106629,PPPH,195,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
107309,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
108368,Fufu,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
110133,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
115250,PPPH,195,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
115800,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
117979,PPPH,195,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
118958,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
120017,Fufu,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
121429,Oioi,170,Random5,Red01,Green03,Blue01,Red01,Red01,,,,,
129548,High,200,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
130129,Pause,170,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
131529,Wah,145,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
