time,lyrics
0,
12250,夢を掴むその日まで
16433,走り抜け！
18017,Beyond the future!
19217,Step into the land of victory!
21383,Three! Two! One! And more!
23700,Three! Two! One! Let's go!!
26033,
39617,いつか栄光のゴールへ
43150,寄り添う瞳に勇気を貰って
48150,(ずっと) 追い続けた夢
50500,(そっと) 積み重ねた憧れ
53583,ねぇ…こんなに綺麗なの
57682,
57683,走るのが好き！
59867,変わらぬ想い (It's my wish)
62467,負けても くじけても
65083,決して消えない
67283,手を伸ばした景色
70517,Two! One! Go!!
71882,
71883,太陽がキラキラ！(Sunlight!)
75867,虹風と抱きあい
78583,染めてゆく心
81067,咲き踊る勝利の歌！(Dreamtide!)
85217,笑顔呼ぶ涙は
87717,ステキな宝物
90166,
90167,さぁ みんなの夢を乗せて
94167,走り出せ！
95750,Beyond the future!
96800,Step into the land of victory!
99300,
108433,太陽がキラキラ！(Sunlight!)
112433,虹風と交わる
115033,祝福のエール
117700,咲き踊る勝利の歌！(Dreamtide!)
121933,笑顔呼ぶ涙が
124350,奏でる「ありがとう」
126849,
126850,さぁ みんなの夢を乗せて
130567,日本一を掴むその日まで
135533,走り抜け！
136817,Beyond the future!
138167,Step into the land of victory!
140350,
145367,(次のゴールへ…！)
151800,Three! Two! One! And more!
154133,Three! Two! One! Let's go!!
157267,
