time,left3,left2,left,center,right,right2,right3,left3_vol,left2_vol,left_vol,center_vol,right_vol,right2_vol,right3_vol,left3_pan,left2_pan,left_pan,center_pan,right_pan,right2_pan,right3_pan,volume_rate
0,1,2,1,1,1,2,1,0,0,0,0,0,0,0,999,999,999,999,999,999,999,999
1000,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
21500,1,0,0,0,0,0,0,0.95,999,999,999,999,999,999,0,999,999,999,999,999,999,1
22000,1,2,0,0,0,0,0,0.95,0.95,999,999,999,999,999,0,0,999,999,999,999,999,1
22200,0,2,0,0,0,0,0,999,0.95,999,999,999,999,999,999,0,999,999,999,999,999,1
22400,0,2,1,0,0,0,0,999,0.95,0.95,999,999,999,999,999,0,0,999,999,999,999,1
23000,1,2,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
23800,0,0,0,0,0,0,1,999,999,999,999,999,999,0.95,999,999,999,999,999,999,0,1
24300,0,0,0,0,0,2,1,999,999,999,999,999,0.95,0.95,999,999,999,999,999,0,0,1
24450,0,0,0,0,0,2,0,999,999,999,999,999,0.95,999,999,999,999,999,999,0,999,1
24700,0,0,0,0,1,2,0,999,999,999,999,0.95,0.95,999,999,999,999,999,0,0,999,1
25200,1,2,1,1,1,2,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.4
34000,2,1,0,0,0,1,2,0,0,999,999,999,0,0,999,999,999,999,999,999,999,0
36000,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
48200,0,0,1,0,0,0,2,999,999,1,999,999,999,1,999,999,0,999,999,999,0,1
51000,0,0,2,0,0,0,2,999,999,0,999,999,999,1,999,999,999,999,999,999,0,1
53600,0,0,2,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
55600,0,0,2,0,0,0,2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
57000,0,0,2,0,0,1,2,999,999,0.7,999,999,1,0.7,999,999,-0.15,999,999,0,0.15,1
62400,0,1,1,0,0,0,1,999,1,0,999,999,999,0,999,0,999,999,999,999,999,1
65800,0,1,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
67300,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
70000,2,0,0,0,1,0,0,1,999,999,999,1,999,999,0,999,999,999,999,0,999,1
71800,2,1,1,1,1,1,1,1,0.41,0.43,0.45,0.45,0.43,0.41,0,-0.3,-0.2,-0.1,0.1,0.2,0.3,1
74000,1,1,1,1,1,1,1,0,0.41,0.43,0.45,0.45,0.43,0.41,0,-0.3,-0.2,-0.1,0.1,0.2,0.3,1
75500,1,1,0,0,0,2,2,0.69,0.69,999,999,999,0,0,-0.15,0.15,999,999,999,999,999,1
77000,1,1,0,0,0,2,2,0.69,0.69,999,999,999,0.69,0.69,-0.15,0.15,999,999,999,-0.15,0.15,1
78000,0,0,1,1,1,2,2,999,999,0.56,0.7,0.56,0.69,0.69,999,999,-0.3,0,0.3,-0.15,0.15,1
80000,0,0,1,1,1,1,1,999,999,0.56,0.7,0.56,0,0,999,999,-0.3,0,0.3,999,999,1
80900,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.48
85000,2,2,2,1,0,0,0,0,0,0,1,999,999,999,999,999,999,0,999,999,999,1
85500,2,2,2,1,0,0,0,0.56,0.7,0.56,1,999,999,999,-0.3,0,0.3,0,999,999,999,1
87500,2,2,2,2,1,1,1,0.56,0.7,0.56,0,0.56,0.7,0.56,-0.3,0,0.3,999,-0.3,0,0.3,1
90000,1,1,1,2,1,1,1,0,0,0,1,0.56,0.7,0.56,999,999,999,0,-0.3,0,0.3,1
93200,0,0,0,2,0,0,0,999,999,999,1,999,999,999,999,999,999,0,999,999,999,1
93300,0,0,1,2,1,0,0,999,999,0.7,1,0.7,999,999,999,999,-0.15,0,0.15,999,999,1
95700,1,1,1,2,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.5
107000,0,0,0,1,2,0,0,999,999,999,1,1,999,999,999,999,999,0,0,999,999,1
116000,0,0,0,1,1,0,0,999,999,999,1,0,999,999,999,999,999,0,999,999,999,1
117500,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.49
121500,0,0,0,1,2,2,2,999,999,999,1,0,0,0,999,999,999,0,999,999,999,1
122500,0,0,0,1,2,2,2,999,999,999,1,0.56,0.7,0.56,999,999,999,0,-0.3,0,0.3,1
124000,1,1,1,0,2,2,2,0.56,0.7,0.56,999,0.56,0.7,0.56,-0.3,0,0.3,999,-0.3,0,0.3,1
