time,lleft,left,center,right,rright,lleft_vol,left_vol,center_vol,right_vol,right_vol,lleft_pan,left_pan,center_pan,right_pan,rright_pan
0,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
18800,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
23000,0,2,1,2,0,999,1.17,1.78,1.17,999,999,-0.15,999,0.15,999
26800,0,2,1,2,0,999,999,999,999,999,999,999,999,999,999
34000,0,1,1,1,0,999,0,0,0,999,999,999,999,999,999
34100,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
45200,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999
50500,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999
56500,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999
59700,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999
62400,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
64500,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
82500,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
87700,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
103600,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
107500,0,2,1,2,0,999,1.16,1.78,1.16,999,999,-0.15,999,0.15,999
111600,0,2,1,2,0,999,999,999,999,999,999,999,999,999,999
118300,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
