time,lyrics
0,
7883,疾走れ！未来のなかへ 新しく吹く風のように今
18567,この加速で (限界を突きはなせ)
23550,夢の在処の、その向こう
26717,Keep on trying…
28850,新世界-はじまり-へ
31483,
34583,きっとまだ自由になれる
39900,それは予感じゃなくて My faith
45117,Get Ready! 地平を見つめたら 躊躇いはない 踏み込むだけ
54717,
56117,(Blasting!) こんなモンじゃないでしょう？
58883,(Jumping!) 先は無限めいて
61583,(Fighting!) ほら誘ってる
64417,私たちだけが…切り開ける道が
70733,
71633,疾走れ！未来のなかへ 新しく吹く風のように今
82433,うなりあげて 到達したい
87700,未開のゴール I'll be a real winner!
92767,果てない思いは颯 どんな日だって消えない BLOW my GALE
103650,だって君が (教えてくれたから)
108583,夢を見ること 叶うこと
111500,Keep on trying…
113717,新世界-はじまり-へ さあ、挑め！
122500,
