time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Oioi,181,Random2,Green01,Red01,,,,,,,,
60,Oioi,181,Random2,Green01,Red01,,,,,,,,
26767,Bye,45,Random2,Green01,Red01,,,,,,,,
45183,PPPH,181,Random2,Green01,Red01,,,,,,,,
56133,PPPH,181,Random2,Red02,Red03,,,,,,,,
64233,Wah,165,Random2,Green01,Red01,,,,,,,,
69183,Bye,80,Random2,Green01,Red01,,,,,,,,
71667,PPPH,181,Random2,Green01,Red01,,,,,,,,
92833,Oioi,181,Random2,Green01,Red01,,,,,,,,
111667,Bye,45,Random2,Green01,Red01,,,,,,,,
130750,Pause,45,Random2,Green01,Red01,,,,,,,,
