time,lleft,left,center,right,rright,lleft_vol,left_vol,center_vol,right_vol,right_vol,lleft_pan,left_pan,center_pan,right_pan,rright_pan
0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
12540,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
26120,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
35872,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999
40867,0,1,0,1,0,999,999,999,999,999,999,999,999,999,999
41814,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999
44977,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999
51668,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999
54157,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
56871,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
61974,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
64031,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
81217,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999
84182,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999
86225,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
89192,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
98729,0,1,1,0,0,999,999,999,999,999,999,999,999,999,999
103384,0,1,2,0,0,999,1.26,0,999,999,999,0,0,999,999
105750,0,1,2,0,0,999,1.26,1.26,999,999,999,0,0,999,999
109650,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
114923,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
137812,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999
140845,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999
143250,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999
144446,0,1,1,1,0,999,999,999,999,999,999,999,999,999,999
