time,lyrics
0,
6483,キミと夢をかけるよ
8633,何回だって勝ち進め 勝利のその先へ！
16033,
26333,Sunshine 前を向けば Passion 高鳴るファンファーレ
32017,青空一直線！ (目指せ[一着]<テッペン>！)
36167,ちょっとヘコむときは パっと耳澄ませて Feel Me!
41867,その背中 押してたいから
45099,
45100,気持ち一列 それぞれに続く地平線 蹴って
50950,(No More!) 迷わないで
53400,(Let's Go!) 止まらず行こう！
56949,
56950,キミと夢をかけるよ
59100,何回だって 巻き起こせスパート
61867,諦めないで I Believe!
64017,いつか決めたゴールに
67867,Try! 届け 全速で
69867,走りまくろう Never Give Up
72950,風も音もヒカリも
75100,追い越しちゃって 誰も知らない明日へ進め！
81100,(ほら) キミと夢を重ねてる
83567,(ほら) ひたむきに輝いた ストーリー
89099,
89100,何処にいても虹を見上げて
94017,同じ想いでいられる (目指せ[一着]<テッペン>！)
98950,トモダチ以上 仲間でライバル
103400,努力だって なぜか嬉しい
105867,競い合って 近づいて行く
109866,
109867,変えられるのさ Destiny
112017,限界だって 超えてみせる
114783,諦めないで I Believe!
116950,いつか決めたゴールに
120783,Try! 届け 全速で
122783,走りまくれ もっと
125100,笑い合えた季節の中で
129567,風も音もヒカリも
131717,追い越しちゃって 誰も知らない明日へ進め！
137717,(ほら) キミと夢を重ねてる
140167,(ほら) この胸に昇る太陽
142783,(ほら) 噛みしめてGO!
144333,キミと夢をかけるよ いつまでも希望とともに
150050,
