time,lyrics
0,
3083,キミと見た夢が みんなの夢になる
8067,
18300,キミとの出会いがスタートライン (よーいドン！)
22200,右も左も分からないまま走ったね
27333,まっすぐなキミの想いを頼りに (ファイト！)
31283,毎日のひとつひとつ 今に繋がった
36166,
36167,走れば走るほど 気付かされるよ
40700,[目標]<ゴール>までまだ遠くて 足りないものばっか
45383,それでも走れば走るほど 感じるよ
50200,いつもどんな[勝負]<レース>も ひとりではないこと
56650,
56933,夢の先にまた夢があるんだ
61617,叶えたいことあるほど [可能性]<ゲート>は拓くよ
66300,みんなのエール乗せて [一走]<いっぽ>ずつ叶えに行こう
71283,キミの声を (チカラにして)
73617,キミの声が (ミライになる)
75967,みんなと見る夢 どこまでも続くよ
80650,
92067,空を見るように夢を見ていたい
96750,願うことから始まるドラマがあるよ
101433,風を起こすようにキセキを作り出そう
106400,キミの希望 (乗せて行くよ)
108750,キミに夢を (見せて行くよ)
111083,動かすんだ 心を 世界を
116067,この走りで 全力で
119817,
120167,Dear DREAMERS...!!
121332,
121333,夢の先にまた夢があるんだ
126017,叶えたいことあるほど [可能性]<ゲート>は拓くよ
130650,みんなのエール乗せて [一走]<いっぽ>ずつ叶えに行こう
135667,キミの声を (チカラにして)
138017,キミの声が (ミライになる)
140350,同じ夢を見よう これからもずっと
148667,
