time,left3,left2,left,center,right,right2,right3,left3_vol,left2_vol,left_vol,center_vol,right_vol,right2_vol,right3_vol,left3_pan,left2_pan,left_pan,center_pan,right_pan,right2_pan,right3_pan,volume_rate
0,1,1,1,1,1,1,0,0.98,1.02,999,1.02,999,0.98,999,999,-0.1,-0.2,999,999,999,999,999
17800,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
27400,0,0,1,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
31400,0,0,0,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
36200,0,1,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
40800,0,0,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
45400,1,0,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
50250,1,1,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
53150,1,1,1,1,1,1,0,0.97,1.03,999,1.03,999,0.97,999,999,-0.1,-0.2,999,999,999,999,999
61700,0,1,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
66400,1,1,1,1,1,1,0,0.97,1.03,999,1.03,999,0.97,999,999,999,999,999,999,999,999,999
71300,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
73600,1,1,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
76000,1,1,1,1,1,1,0,0.97,1.03,999,1.03,999,0.97,999,999,-0.1,-0.2,999,999,999,999,999
91000,0,0,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
96800,0,1,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
101500,0,1,0,1,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
106400,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
108800,1,1,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
111100,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
113900,1,1,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
116100,1,1,1,1,1,1,0,0.97,1.03,999,1.03,999,0.97,999,999,-0.1,-0.2,999,999,999,999,999
135700,0,0,1,1,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
138000,1,1,0,0,0,1,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
140400,1,1,1,1,1,1,0,0.97,1.03,999,1.03,999,0.97,999,999,-0.1,-0.2,999,999,999,999,999
