time,lyrics
0,
13980,日々の DownとUp 教科書にのってない 答えさがし
20920,みんなと一歩ずつ
25980,それは いつか踏みしめる Startとちょっと似てた
32920,熱と秘めた思い
38169,
38170,ドキリ 本気 感じて
40800,ちら見した横顔
44680,止まらないで Friends
46800,負けないようなハートを持ってたいから！
53169,
53170,Yes! アコガレだった夢に今
56550,誰より前へ ひたむき Dash
59920,まばたきもできない 一瞬が来たんだよ
65360,青春だって実感のない 今日だけど
69800,And More Get Over!
72480,駆け抜けるよ
74550,涙ひかって明日になれ！
79950,
92550,アコガレだった夢に今
95550,誰より前へ ひたむき Dash
99080,まばたきもできない 一瞬、焼き付けてーーー
105520,Yes! 青春ってこんなカタチ？ 知ったかも
110300,And More Get Over!
113170,私たちの涙ひかって明日になれ！
119871,
