time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Wah,0,Random2,Blue01,Blue02,,,,,,,,
1,Wah,120,Random2,Blue01,Blue02,,,,,,,,
6583,Wah,165,Random2,Blue01,Blue02,,,,,,,,
17993,Oioi,90,Random2,Blue01,Blue02,,,,,,,,
30933,Uhoi,196,Random2,Orange01,Red01,,,,,,,,
67683,Oioi,98,Random2,Blue01,Blue02,,,,,,,,
93183,Uhoi,196,Random2,Orange01,Red01,,,,,,,,
116500,Wah,196,Random2,Orange01,Red01,,,,,,,,
119717,Uhoi,196,Random2,Orange01,Red01,,,,,,,,
123967,Bye,80,Random2,Orange01,Orange02,,,,,,,,
