time,lyrics
0,
12767,WINnin' 5
13900,青空 飛ぶように駆け出そう
18733,[自分]<いま>を超えてゆけ！
21283,
30833,重ね合わせた夢 笑顔色の勇気をくれた
36317,あの日 一緒に見た景色に 未来を映して
41483,くじけそうなとき 励まして 支えてくれたね
46633,そして誓った 絶対 負けないって
51283,
51800,強い気持ちがつなぐ [心]<ハート>は[Team]<ひとつ>
56483,この瞬間に輝け！
60733,
64383,WINnin' 5
65517,[全員]<みんな>で 叶えてゆく
69550,ぶつかり つまずいても
71633,走れ！目指せ！ 歓喜の[勝利]<ゴール>
74700,WINnin' 5
75833,ひとりじゃなかったから
79467,そう 強くなれたんだよ
81967,涙の絆 ねぇ ありがとう☆
85833,劇的フィナーレ!!!
87767,Yes! High-five!!
90667,
105667,WINnin' 5
106800,[全員]<みんな>で勝ち取ってく
110833,限界 追い越せるよ
112933,響け！届け！ [仲間]<とも>の[声援]<エール>
116000,WINnin' 5
117117,誇りと希望のバトン
121000,ほら 奇跡は続くよ
123250,無敵の友情 もう最強☆
127117,劇的フィナーレ!!!
129067,Yes! High-five!!
131483,Yeah!! 天晴フィナーレ!!!
134217,最強 5!!
136533,
146317,（せーのっ！）WINnin' 5!!!
149683,
