time,lyrics
0,
1425,夢のゲートひらいて 輝き目指して
6555,行こう！みんなで GO TO THE TOP!!
13722,
20520,誰より速く走りたい
25250,ハートが加速する
29925,ドキドキしてるし！させちゃうし！
34200,毎日がスペシャルレース
38474,
38475,とびっきりを見せたいなら
43035,自分の“らしさ”を 自分でいちばん
47595,信じてあげなくっちゃね
52440,(せーの！LET'S GO!)
54149,
54150,風を切って駆け出す もうコドウ止まらない
58995,本命も 大穴も キミに一直線
63840,夢と希望と尻尾にかけ
68115,GET CHANCE 誓うよ GO TO THE TOP!!
75240,
81225,夢のゲートひらいて 輝き目指して
86355,歓声と 地響きと 光るしぶきと
91485,愛とロマンがここにある
95760,見よう！一緒に ENDLESS DREAM!!
100580,
100581,(青空) 芝のにおい…大好き
109725,終わらない夢を連れて どこまでも
120840,
