time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Bye,105,Random2,Blue01,Blue01,,,,,,,,
1,Bye,105,Random2,Blue01,Blue01,,,,,,,,
11440,Bye,52,Random2,Blue01,Blue01,,,,,,,,
12500,Lala,118,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
20570,Oioi,210,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
54300,Pause,140,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
54912,Oioi,210,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
75130,Lala,118,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
82365,Bye,105,Random2,Blue01,Blue01,,,,,,,,
90481,Oioi,210,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
100386,Bye,52,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
100334,Lala,110,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
117700,High,40,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
120600,Pause,40,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
122700,Wah,145,Random5,Red01,Green03,Blue01,Red01,Green03,,,,,
