time,move_type,bpm,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5
0,Bye,0,Random2,Red02,Red02,,,,,,,,
2800,Bye,40,Random2,Red02,Red02,,,,,,,,
5980,Uhoi,159,Random2,Blue01,Green01,,,,,,,,
15007,Bye,159,Random2,Blue01,Green01,,,,,,,,
18096,Oioi,159,Random3,Green01,Pink02,Blue02,,,,,,,
42224,Bye,159,Random2,Red02,Purple01,,,,,,,,
54300,High,0,Random2,Red02,Purple01,,,,,,,,
55770,Uhoi,159,Random3,Green01,Pink02,Blue02,,,,,,,
79924,Bye,20,Random3,Green01,Pink02,Blue02,,,,,,,
82940,Oioi,159,Random2,Red02,Purple01,,,,,,,,
102167,Oioi,159,Random3,Green01,Pink02,Blue02,,,,,,,
108576,Uhoi,159,Random3,Green01,Pink02,Blue02,,,,,,,
120640,Bye,20,Random3,Green01,Pink02,Blue02,,,,,,,
123656,Uhoi,159,Random2,Red02,Purple01,,,,,,,,
